CODE	SUPPLIER	SUPPCODE	DESCRIPTION	RETAIL	TRADE	MLP	DISC1	DISC2	FWDDATE	FWDRETAIL	FWDTRADE	FWDMLP	FWDDISC1	FWDDISC2
CU20S	13012	CU20S	MONTROSE 200X584MM BASE CUPBOARD(200MM D	169.65	135.74	169.680	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CU25	13012	CU25	MONTROSE 250X584MM SINGLE CUPBOARD(290MM	182.02	145.65	182.056	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CU25S	13012	CU25S	MONTROSE 250X584MM BASE CUPBOARD(200MM)	182.02	145.65	182.056	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CU30	13012	CU30	MONTROSE 300X584MM BASE CUPBOARD(290MM D	189.99	152.01	190.010	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CU30S	13012	CU30S	MONTROSE 300X584MM BASE CUPBOARD(200MM D	189.99	152.01	190.010	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CU35	13012	CU35	MONTROSE 350X584MM BASE CUPBOARD(290MM)	203.24	162.60	203.266	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CU35S	13012	CU35S	MONTROSE 350X584MM BASE CUPBOARD(200MM D	203.24	162.60	203.266	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CU40	13012	CU40	MONTROSE 400X584MM BASE CUPBOARD(290MM D	215.60	172.49	215.631	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CU40S	13012	CU40S	MONTROSE 400X584MM BASE CUPBOARD(200MM D	215.60	172.49	215.631	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CU45	13012	CU45	MONTROSE 450X584MM BASE CUPBOARD(290MM D	224.39	179.52	224.476	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CU45S	13012	CU45S	MONTROSE 450X584MM BASE CUPBOARD(200MM D	224.39	179.52	224.476	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CU50	13012	CU50	MONTROSE 500X584MM BASE CUPBOARD(290MM D	236.82	189.47	236.841	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CU50S	13012	CU50S	MONTROSE 500X584MM BASE CUPBOARD(200MM D	236.82	189.47	236.841	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CU60	13012	CU60	MONTROSE 600X584MM BASE CUPBOARD(290MM D	298.68	238.97	298.711	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CU60S	13012	CU60S	MONTROSE 600X584MM BASE CUPBOARD(200MM D	298.68	238.97	298.711	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CU70	13012	CU70	MONTROSE 700X584MM BASE CUPBOARD(290MM D	318.12	254.52	318.150	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CU70S	13012	CU70S	MONTROSE 700X584MM BASE CUPBOARD(200MM D	318.12	254.52	318.150	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CU80	13012	CU80	MONTROSE 800X584MM BASE CUPBOARD(290MM D	337.56	270.07	337.589	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CU80S	13012	CU80S	MONTROSE 800X584MM BASE CUPBOARD(200MM D	337.56	270.07	337.589	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CU90	13012	CU90	MONTROSE 900X584MM BASE CUPBOARD(290MM D	355.24	284.21	355.268	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CU90S	13012	CU90S	MONTROSE 900X584MM BASE CUPBOARD(200MM D	355.24	284.21	355.268	50.00	0.00		0.00	0.00	0.00	0.00	0.00
