PERIOD,DATE,JOURNAL,REFERENCE,VALUE,BRANCH,GLCODE,GLREPORT
201709,22/09/17,75092,85209/MAINCOR LTD ,-18.22,2,720,56
201703,27/03/17,70648,80284/ROBERT LEE(LONDON)LTD ,-54.7,2,720,56
201609,30/09/16,65295,73910/THOMAS DUDLEY LTD ,333.01,2,720,56
201602,26/02/16,59942,67843/HIB LTD ,-89.54,2,720,56
201711,24/11/17,77213,89442/JOULE UK ,779.04,2,630,54
201801,11/01/18,77617,90722/ROBERT LEE(LONDON)LTD ,24.88,2,630,54
201705,31/05/17,72265,82158/DAVROC LIMITED ,-191.66,2,720,56
201701,30/01/17,68629,77881/ROBERT LEE(LONDON)LTD ,-62.38,2,720,56
201609,06/09/16,64993,73546/ROBERT LEE(LONDON)LTD ,49.39,2,700,58
201604,26/04/16,61357,69489/BRETT MARTIN LTD ,363.52,2,630,54
201608,22/08/16,64289,72774/BATHEX ,16,2,700,58
201612,30/01/17,JV5401,DEC PAYMENTS ,914.18,2,803,59
201711,30/11/17,77315,89675/MID-NORTH LTD ,94.92,2,630,54
201705,26/05/17,72266,82168/PROTYRE SALISBURY ,83.33,2,390,14
201702,06/02/17,69135,78270/DAVROC LIMITED ,393.4,2,630,54
201610,03/10/16,66105,74944/ROBERT LEE(LONDON)LTD ,35.9,2,630,54
201611,15/11/16,66712,75316/HIB LTD ,29.97,2,630,54
201605,31/05/16,62166,70284/LOGICOM COMPUTER SERVICES LTD ,-576,2,690,52
201601,20/01/16,58934,66542/WH CYLINDERS ,630,2,720,56
201701,30/03/17,JV5502,JAN PAYROLL ,105.79,2,350,12
201710,30/10/17,75599,88612/TODAYS TOOLS LTD ,773.35,2,630,54
201707,06/07/17,73277,83270/H&V CONTROLS LTD ,25.56,2,700,58
201703,23/03/17,70146,79513/KUDOS SHOWER PRODUCTS LIMITED ,-137.26,2,720,56
201609,30/09/16,65298,73913/EMBRASS ,-1771.04,2,690,52
201602,25/02/16,59541,67392/BROUGHTON CRANGROVE ,169.13,2,700,58
