PRODUCT	ATT 1	ATT 2	ATT 3	ATT 5	ATT 6	ATT 7	ATT 9	ATT 10	ATT 11	ATT 13	ATT 14	ATT 15	ATT 20	ATT 22	ATT 31	ATT 32
3618I7	900X450 IND E7 PTL G3 F JOULE	142	10152	14900	13900	2347000	2347000	5000	0	1173500	1		S	CC-B3109045FEA	1	
BRPRISMSHWRPK2	PRISM SHWR PK2	110	21809	25140	23045	3491700	3491700	5450	0	1588723	1		S	PRISM SHWR PK2	1	
QHP22S4312RAL	QUINN SLIEVE HDC 433X1200 QHP22S4312RAL	5	17181	30473	27703	5540600	5540600	6250	0	2077725	1		S	QHP22S4312RAL	1	
SP230CI	SP230 110MM"CI" 92.5*DBLE.BRANCH	22	61215	9210	8210	924300	924300	4719	0	488122	1		S	SP230CI	1	
BRUBBER	CRAMER BATH CLEANING RUBBER	215	16180	0	0	110000	110000	6000	0	44000	1		S	50090412	1	
BRFZSHXVOCTFFC	FRENZY CONTEMPORARY COOL TOUCH BAR MIXER VALVE ONLY FAST FIT CONNECTIONS	110	21809	8400	7700	1166700	1166700	5450	0	530848	1		S	FZ SHXVOCTFF C	1	
RUM1B	RUM1 76MMBL.MINIFLO UNION BRACKET	21	61215	199	183	22900	22900	5153	0	11099	1		S	RUM1B	1	
3618IC	900X450 IND COMBI PTL G3 F JOULE	142	10152	22575	20738	2625100	2625100	5000	0	1312550	1		S	CCCB3109045FRA	1	
FTCP223450	WRAS UK P/F 22X3/4X500 19MM BORE FLEX TAP CONN(2) PER 1	203	23051	1574	1374	220300	220300	5200	0	105744	1		S	28816	*	
BAT165JU	JUBILEE 1700X700 BATH	81	11011	13487	12450	2075000	2075000	6000	0	830000	1		S	BAT165JU	1	
BBCL17QT	BURLINGTON QT CLAREMONT WALL BSM	262	20120	33833	30464	4666700	4666700	4000	0	2800020	1		S	CL17-QT	1	
BBR10B	AQUACAB COMPACT BLACK 210 WALL HUNG UNIT (ORDER BASIN SEPARATELY)	262	14061	10271	9248	1416700	1416700	5500	0	637515	1		S	R10B	1	
M8SW1400HB	MERLYN 8 SERIES SHOWERWALL WITH HINGED SWIVEL PANEL INCLUDING MSTONE TRAY 1500 X 900	47	13051	69013	60922	9519100	9519100	5500	0	4283595	1		S	M8SW1400HB	1	
BBR10G	AQUACAB COMPACT GREY 210 WALL HUNG UNIT (ORDER BASIN SEPARATELY)	262	14061	10271	9248	1416700	1416700	5500	0	637515	1		S	R10G	1	
FUR150ME	METRO 800MM BASIN	91	11011	11895	10980	1830000	1830000	6000	0	732000	1		S	FUR150ME	1	
